parameter,region,sector,subsector,technology,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
intensity,China,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0.402,0.402,0.401,0.401,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,EJ/billion-service-km
intensity,China,trn_freight,Freight Rail,Liquids,0.505,0.504,0.503,0.503,0.502,0.501,0.501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,EJ/billion-service-km
intensity,China,trn_freight,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,China,trn_freight_road,Heavy truck,BEV,0,0,0,0.00439,0.00434,0.0043,0.00425,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,EJ/billion-service-km
intensity,China,trn_freight_road,Heavy truck,FCEV,0,0,0,0.00676,0.00657,0.00636,0.00614,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,EJ/billion-service-km
intensity,China,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0.00797,0.00792,0.00787,0.00782,0.00777,0.00772,0.00772,0.00772,0.00772,0.00772,0.00772,0.00772,0.00772,0.00772,0.00772,0.00772,EJ/billion-service-km
intensity,China,trn_freight_road,Heavy truck,Liquids,0.00863,0.00857,0.00852,0.00847,0.00842,0.00837,0.00831,0.00826,0.00826,0.00826,0.00826,0.00826,0.00826,0.00826,0.00826,0.00826,0.00826,0.00826,EJ/billion-service-km
intensity,China,trn_freight_road,Light truck,BEV,0,0,0,0.000395,0.00039,0.000386,0.000381,0.000377,0.000377,0.000377,0.000377,0.000377,0.000377,0.000377,0.000377,0.000377,0.000377,0.000377,EJ/billion-service-km
intensity,China,trn_freight_road,Light truck,FCEV,0,0,0,0.000624,0.000616,0.000608,0.0006,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,EJ/billion-service-km
intensity,China,trn_freight_road,Light truck,Hybrid Liquids,0,0,0.00127,0.00125,0.00124,0.00122,0.00121,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,EJ/billion-service-km
intensity,China,trn_freight_road,Light truck,Liquids,0.00147,0.00145,0.00144,0.00142,0.0014,0.00138,0.00137,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,EJ/billion-service-km
intensity,China,trn_freight_road,Light truck,NG,0.00177,0.00175,0.00172,0.0017,0.00168,0.00166,0.00164,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,EJ/billion-service-km
intensity,China,trn_freight_road,Medium truck,BEV,0,0,0,0.0022,0.00219,0.00218,0.00217,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,0.00216,EJ/billion-service-km
intensity,China,trn_freight_road,Medium truck,FCEV,0,0,0,0.00349,0.00347,0.00345,0.00344,0.00342,0.00342,0.00342,0.00342,0.00342,0.00342,0.00342,0.00342,0.00342,0.00342,0.00342,EJ/billion-service-km
intensity,China,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0.0062,0.00616,0.00612,0.00608,0.00604,0.00601,0.00601,0.00601,0.00601,0.00601,0.00601,0.00601,0.00601,0.00601,0.00601,0.00601,EJ/billion-service-km
intensity,China,trn_freight_road,Medium truck,Liquids,0.00672,0.00667,0.00663,0.00659,0.00655,0.00651,0.00647,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,EJ/billion-service-km
intensity,China,trn_pass,Cycle,Cycle,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,China,trn_pass,Domestic Aviation,BEV,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,China,trn_pass,Domestic Aviation,Hydrogen,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,China,trn_pass,Domestic Aviation,Liquids,0.384,0.373,0.33,0.297,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,China,trn_pass,HSR,Electric,0,0,0.123,0.123,0.123,0.123,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,EJ/billion-service-km
intensity,China,trn_pass,Passenger Rail,Electric,0.056,0.0559,0.0558,0.0557,0.0557,0.0556,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,0.0555,EJ/billion-service-km
intensity,China,trn_pass,Passenger Rail,Liquids,0.15,0.15,0.15,0.15,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,EJ/billion-service-km
intensity,China,trn_pass,Walk,Walk,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,China,trn_pass,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,China,trn_pass_road,Bus,BEV,0,0,0,0.00181,0.00167,0.00156,0.00146,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,EJ/billion-service-km
intensity,China,trn_pass_road,Bus,FCEV,0,0,0,0.00222,0.00208,0.00197,0.00186,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,EJ/billion-service-km
intensity,China,trn_pass_road,Bus,Hybrid Liquids,0,0,0.00677,0.00642,0.00642,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,0.00641,EJ/billion-service-km
intensity,China,trn_pass_road,Bus,Liquids,0.00795,0.00795,0.00794,0.00794,0.00794,0.00793,0.00793,0.00792,0.00792,0.00792,0.00792,0.00792,0.00792,0.00792,0.00792,0.00792,0.00792,0.00792,EJ/billion-service-km
intensity,China,trn_pass_road,Bus,NG,0.00875,0.00874,0.00874,0.00873,0.00873,0.00873,0.00872,0.00872,0.00872,0.00872,0.00872,0.00872,0.00872,0.00872,0.00872,0.00872,0.00872,0.00872,EJ/billion-service-km
intensity,China,trn_pass_road_LDV,2W and 3W,BEV,0.000295,0.000282,0,0.000298,0.000289,0.000281,0.000276,0.000271,0.000271,0.000271,0.000271,0.000271,0.000271,0.000271,0.000271,0.000271,0.000271,0.000271,EJ/billion-service-km
intensity,China,trn_pass_road_LDV,2W and 3W,LA-BEV,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,China,trn_pass_road_LDV,2W and 3W,Liquids,0.000984,0.000948,0.000923,0.000891,0.000859,0.000833,0.000807,0.000781,0.000781,0.000781,0.000781,0.000781,0.000781,0.000781,0.000781,0.000781,0.000781,0.000781,EJ/billion-service-km
intensity,China,trn_pass_road_LDV,2W and 3W,NG,0,0.0014,0.0014,0.00139,0.00139,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,0.00138,EJ/billion-service-km
intensity,China,trn_pass_road_LDV,4W,4W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Car,BEV,0,0,0,0.000626,0.000624,0.000621,0.000619,0.000617,0.000617,0.000617,0.000617,0.000617,0.000617,0.000617,0.000617,0.000617,0.000617,0.000617,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Car,FCEV,0,0,0,0,0.000884,0.00087,0.000855,0.000841,0.000841,0.000841,0.000841,0.000841,0.000841,0.000841,0.000841,0.000841,0.000841,0.000841,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0,0,0.00163,0.00159,0.00155,0.00151,0.00148,0.00144,0.00144,0.00144,0.00144,0.00144,0.00144,0.00144,0.00144,0.00144,0.00144,0.00144,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Car,Liquids,0.00225,0.00214,0.00208,0.00201,0.00194,0.00188,0.00182,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Car,NG,0.00227,0.00217,0.00212,0.00205,0.00198,0.00192,0.00186,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0,0,0,0.000808,0.000805,0.000802,0.0008,0.000797,0.000797,0.000797,0.000797,0.000797,0.000797,0.000797,0.000797,0.000797,0.000797,0.000797,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0,0,0,0,0.0011,0.00108,0.00107,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0.00207,0.00202,0.00196,0.00192,0.00187,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183,0.00183,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.00284,0.00271,0.00264,0.00255,0.00246,0.00238,0.00231,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,0.00223,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0.00275,0.00268,0.00259,0.0025,0.00243,0.00236,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,0.00228,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Mini Car,BEV,0,0,0,0.000591,0.000589,0.000587,0.000585,0.000583,0.000583,0.000583,0.000583,0.000583,0.000583,0.000583,0.000583,0.000583,0.000583,0.000583,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Mini Car,FCEV,0,0,0,0,0.000919,0.000903,0.000888,0.000873,0.000873,0.000873,0.000873,0.000873,0.000873,0.000873,0.000873,0.000873,0.000873,0.000873,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,0,0,0.00152,0.00148,0.00145,0.00141,0.00138,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,0.00135,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Mini Car,Liquids,0.00209,0.002,0.00194,0.00188,0.00181,0.00175,0.0017,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,EJ/billion-service-km
intensity,China,trn_pass_road_LDV_4W,Mini Car,NG,0.00212,0.00202,0.00197,0.00191,0.00184,0.00179,0.00174,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,EJ/billion-service-km
intensity,China,trn_shipping_intl,International Ship,BEV,0,0,0,0,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,EJ/billion-service-km
intensity,China,trn_shipping_intl,International Ship,FCEV,0,0,0,0,1.37,1.37,1.36,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,EJ/billion-service-km
intensity,China,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,1.67,1.66,1.65,1.64,1.63,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,EJ/billion-service-km
intensity,China,trn_shipping_intl,International Ship,Liquids,2.1,2.09,2.08,2.07,2.06,2.05,2.04,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,EJ/billion-service-km
intensity,Colombia,trn_aviation_intl,International Aviation,BEV,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,Colombia,trn_aviation_intl,International Aviation,Hydrogen,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,Colombia,trn_aviation_intl,International Aviation,Liquids,0.43,0.418,0.37,0.333,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,Colombia,trn_freight,Domestic Ship,BEV,0,0,0,0,0.166,0.165,0.164,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,EJ/billion-service-km
intensity,Colombia,trn_freight,Domestic Ship,FCEV,0,0,0,0,0.221,0.22,0.219,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,EJ/billion-service-km
intensity,Colombia,trn_freight,Domestic Ship,Hybrid Liquids,0,0,0.268,0.267,0.265,0.264,0.263,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,EJ/billion-service-km
intensity,Colombia,trn_freight,Domestic Ship,Liquids,0.338,0.336,0.335,0.333,0.332,0.33,0.328,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,EJ/billion-service-km
intensity,Colombia,trn_freight,Freight Rail,BEV,0,0,0,0.171,0.171,0.171,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,EJ/billion-service-km
intensity,Colombia,trn_freight,Freight Rail,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,Colombia,trn_freight,Freight Rail,Electric,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,EJ/billion-service-km
intensity,Colombia,trn_freight,Freight Rail,FCEV,0,0,0,0.228,0.228,0.228,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,EJ/billion-service-km
intensity,Colombia,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0.274,0.273,0.273,0.273,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,EJ/billion-service-km
intensity,Colombia,trn_freight,Freight Rail,Liquids,0.343,0.343,0.343,0.342,0.342,0.341,0.341,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,EJ/billion-service-km
intensity,Colombia,trn_freight,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Heavy truck,BEV,0,0,0,0.00685,0.00678,0.0067,0.00663,0.00655,0.00655,0.00655,0.00655,0.00655,0.00655,0.00655,0.00655,0.00655,0.00655,0.00655,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Heavy truck,FCEV,0,0,0,0.0105,0.0102,0.00992,0.00958,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0.0124,0.0124,0.0123,0.0122,0.0121,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Heavy truck,Liquids,0.0135,0.0134,0.0133,0.0132,0.0131,0.0131,0.013,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Light truck,BEV,0,0,0,0.00348,0.00342,0.00335,0.00329,0.00323,0.00323,0.00323,0.00323,0.00323,0.00323,0.00323,0.00323,0.00323,0.00323,0.00323,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Light truck,FCEV,0,0,0,0.00495,0.0048,0.00465,0.0045,0.00436,0.00436,0.00436,0.00436,0.00436,0.00436,0.00436,0.00436,0.00436,0.00436,0.00436,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Light truck,Hybrid Liquids,0,0,0.00629,0.00593,0.00579,0.00568,0.00558,0.00548,0.00548,0.00548,0.00548,0.00548,0.00548,0.00548,0.00548,0.00548,0.00548,0.00548,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Light truck,Liquids,0.00801,0.00789,0.00781,0.00772,0.00762,0.00752,0.00743,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Medium truck,BEV,0,0,0,0.00344,0.0034,0.00336,0.00332,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,0.00328,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Medium truck,FCEV,0,0,0,0.00543,0.00537,0.00532,0.00526,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,0.00521,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0.00972,0.0096,0.00948,0.00937,0.00925,0.00913,0.00913,0.00913,0.00913,0.00913,0.00913,0.00913,0.00913,0.00913,0.00913,0.00913,EJ/billion-service-km
intensity,Colombia,trn_freight_road,Medium truck,Liquids,0.0107,0.0105,0.0104,0.0103,0.0101,0.01,0.0099,0.00977,0.00977,0.00977,0.00977,0.00977,0.00977,0.00977,0.00977,0.00977,0.00977,0.00977,EJ/billion-service-km
intensity,Colombia,trn_pass,Cycle,Cycle,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,Colombia,trn_pass,Domestic Aviation,BEV,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,Colombia,trn_pass,Domestic Aviation,Hydrogen,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,Colombia,trn_pass,Domestic Aviation,Liquids,0.384,0.373,0.33,0.297,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,Colombia,trn_pass,HSR,Electric,0,0,0.307,0.307,0.306,0.306,0.306,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,EJ/billion-service-km
intensity,Colombia,trn_pass,Passenger Rail,Electric,0.246,0.246,0.246,0.245,0.245,0.245,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,EJ/billion-service-km
intensity,Colombia,trn_pass,Passenger Rail,Liquids,0.566,0.566,0.565,0.564,0.564,0.563,0.562,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,EJ/billion-service-km
intensity,Colombia,trn_pass,Walk,Walk,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,Colombia,trn_pass,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,Colombia,trn_pass_road,Bus,BEV,0,0,0,0.0021,0.00193,0.00181,0.00169,0.00157,0.00157,0.00157,0.00157,0.00157,0.00157,0.00157,0.00157,0.00157,0.00157,0.00157,EJ/billion-service-km
intensity,Colombia,trn_pass_road,Bus,FCEV,0,0,0,0.00257,0.00241,0.00229,0.00216,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,0.00204,EJ/billion-service-km
intensity,Colombia,trn_pass_road,Bus,Hybrid Liquids,0,0,0.00785,0.00745,0.00745,0.00744,0.00744,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,EJ/billion-service-km
intensity,Colombia,trn_pass_road,Bus,Liquids,0.00923,0.00922,0.00922,0.00921,0.00921,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,EJ/billion-service-km
intensity,Colombia,trn_pass_road,Bus,NG,0.0102,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV,2W and 3W,BEV,0,0,0,0.000498,0.000497,0.000495,0.000493,0.000492,0.000492,0.000492,0.000492,0.000492,0.000492,0.000492,0.000492,0.000492,0.000492,0.000492,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV,2W and 3W,Liquids,0.00158,0.0015,0.00146,0.00141,0.00136,0.00132,0.00128,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,0.00124,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV,4W,4W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Car,BEV,0,0,0,0.00078,0.000777,0.000774,0.000772,0.000769,0.000769,0.000769,0.000769,0.000769,0.000769,0.000769,0.000769,0.000769,0.000769,0.000769,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Car,FCEV,0,0,0,0,0.0011,0.00108,0.00106,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0,0,0.00197,0.00193,0.00188,0.00183,0.00179,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Car,Liquids,0.00271,0.00259,0.00252,0.00243,0.00235,0.00227,0.0022,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Car,NG,0.00275,0.00263,0.00256,0.00247,0.00239,0.00232,0.00225,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0,0,0,0.00107,0.00107,0.00106,0.00106,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0,0,0,0,0.00158,0.00155,0.00153,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0.00263,0.00257,0.0025,0.00244,0.00238,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.00362,0.00345,0.00336,0.00324,0.00313,0.00303,0.00294,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Large Car and Truck,NG,0.00366,0.0035,0.00341,0.0033,0.00319,0.00309,0.003,0.00291,0.00291,0.00291,0.00291,0.00291,0.00291,0.00291,0.00291,0.00291,0.00291,0.00291,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Mini Car,BEV,0,0,0,0.000528,0.000526,0.000525,0.000523,0.000521,0.000521,0.000521,0.000521,0.000521,0.000521,0.000521,0.000521,0.000521,0.000521,0.000521,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Mini Car,FCEV,0,0,0,0,0.000748,0.000735,0.000723,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,0.000711,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,0,0,0.00137,0.00133,0.0013,0.00127,0.00124,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Mini Car,Liquids,0.00188,0.00179,0.00174,0.00168,0.00162,0.00157,0.00153,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,EJ/billion-service-km
intensity,Colombia,trn_pass_road_LDV_4W,Mini Car,NG,0.0019,0.00182,0.00177,0.00171,0.00165,0.00161,0.00156,0.00151,0.00151,0.00151,0.00151,0.00151,0.00151,0.00151,0.00151,0.00151,0.00151,0.00151,EJ/billion-service-km
intensity,Colombia,trn_shipping_intl,International Ship,BEV,0,0,0,0,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,EJ/billion-service-km
intensity,Colombia,trn_shipping_intl,International Ship,FCEV,0,0,0,0,1.37,1.37,1.36,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,EJ/billion-service-km
intensity,Colombia,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,1.67,1.66,1.65,1.64,1.63,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,EJ/billion-service-km
intensity,Colombia,trn_shipping_intl,International Ship,Liquids,2.1,2.09,2.08,2.07,2.06,2.05,2.04,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,EJ/billion-service-km
intensity,DC,trn_aviation_intl,International Aviation,Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,DC,trn_freight,Domestic Ship,Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,DC,trn_freight,Freight Rail,BEV,0,0,0,0.36,0.359,0.359,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,EJ/billion-service-km
intensity,DC,trn_freight,Freight Rail,FCEV,0,0,0,0.479,0.479,0.478,0.478,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,EJ/billion-service-km
intensity,DC,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0.575,0.575,0.574,0.573,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,EJ/billion-service-km
intensity,DC,trn_freight,Freight Rail,Liquids,0.722,0.721,0.72,0.719,0.718,0.717,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,EJ/billion-service-km
intensity,DC,trn_freight,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
