INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
GLIMPSEInputEmissCoef,,,,,,,,,,
,,,,,,,,,,
region,supplysector,tranSubsector,stub-technology,year,pollutant,value,type,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2020,NMVOC, 0.0063666 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2025,NMVOC, 0.0073070 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2030,NMVOC, 0.0071888 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2035,NMVOC, 0.0072776 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2040,NMVOC, 0.0072776 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2045,NMVOC, 0.0072776 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2050,NMVOC, 0.0072776 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2015,CO, 0.0091185 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2020,CO, 0.0104209 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2025,CO, 0.0118848 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2030,CO, 0.0116692 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2035,CO, 0.0117781 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2040,CO, 0.0117781 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2045,CO, 0.0117781 ,input-driver,,,
all states,trn_shipping_intl,International Ship,Hybrid Liquids,2050,CO, 0.0117781 ,input-driver,,,
